a1,a2
15.5,11
20,14
8.5,15
27.5,20
45,31
36,41.5
23.5,8.5
30,18.5
16.5,33
75,47.5
69,55
12.5,15.5
3,5.5
17,15.5
66,52
35,44
33,50
34,62.5
42,66
60,69.5
60,61.5
11,42
18,46
1,26
1,36.5
7.5,35
19,32.5
20,22.5
80,47.5
60,34
57.5,60
4.5,28
10.5,30
15,24.5
11.5,24
11,23.5
7,13
49.5,58
0,2
70,53.5
13.5,36.5
19.5,33
11,20
32.5,59
33,60
16,42.5
8.5,15.5
37,64.5
46.5,64
34,63.5
17,41
27,33
72.5,28
59.5,47
31,19
15,13
12,2.5
3.5,5.5
44,34.5
24.5,31
15.5,24
60,36
85,75
15,14
2.5,4.5
9,18.5
17.5,24.5
70,51.5
69.5,32.5
39.5,22
26,11
25.5,14.5
6.5,5
24.5,22.5
6,9.5
70,44.5
42.5,40.5
50,33
8,10
85,52
11.5,25
16.5,35.5
6,41
5.5,30
60,30
0.5,6.5
41,45
44.5,26.5
7.5,18.5
12.5,25.5
6,35
85,37
60,17
72,40
62,22.5
90,36
37,43
4,25
6.5,15
28.5,29.5
70,65
81,28.5
4,5
4,8
6,3
0,42.5
19,23.5
80,37
9.5,4
80,22
79,47.5
78.5,65.5
3.5,26.5
26,34.5
6.5,25
4,40.5
78.5,15.5
27,28.5
29.5,22.5
60,31.5
16.5,25
2,19
78,33.5
84,6
3,9.5
21,8.5
5.5,31
44,7.5
11,18
80,2
8,17.5
61,35
1.5,6.5
36,35
80,42.5
75,82.5
75,82.5
70,45
90,92.5
92.5,77.5
35,12.5
42,30
42.5,33
85,37
10,17
72.5,33
87.5,60
44.5,30
57.5,35
87.5,60
80,55
43,80
95.5,69
30.5,40
60,37
64,82
60,39.5
60,36.5
36.5,29
65,64
85.5,54
76,62
76,38
71,68
63.5,48.5
68.5,69.5
66.5,48
86,63
56,28
21,26
51,58
56,28
21,33
36,28
56,58
6,33
56,28
33.5,47
61,23
45.5,26.5
65,78
56,23
80,57.5
20,42.5
22.5,21.5
76,57.5
50,37.5
75.5,51.5
73,62.5
75.5,17.5
24,42.5
20,25
93,57.5
78,57.5
64,47.5
29,37.5
78.5,57.5
79,57.5
21,47.5
70,12.5
52.5,67.5
51.5,47.5
15,22.5
36.5,41
19.5,18
61.5,33
49,28
19,28
34,31.5
75.5,61.5
58.5,48
39,28
84,30.5
34,18
33.5,3
13,28
34,46.5
87.5,25
78.5,68
54,40
73,27
65.5,32
61.5,61
77.5,51
84,46
81,21
6.5,46
4,6
78.5,79
11,15.5
46.5,20.5
8,20.5
45.5,32.5
56,52
46,62
10,22
31,9.5
76,62
76,62
86,82
76,97
76,72
21,12
16,42
81,84
45,59
87,69.5
67.5,89
55,9
75.5,51
10.5,36
46.5,24.5
72.5,88
32.5,28
78,56
13.5,26
83.5,66
84.5,65.5
88.5,90.5
51.5,14.5
13.5,13
79,73
24,43
71.5,24.5
67,37
81.5,59.5
49.5,14.5
40.5,30.5
9,10
23,30
87,41
86.5,34
31.5,9
21,16
88.5,76
76,70
46.5,24
61.5,34.5
56.5,38.5
56.5,36.5
72.5,46.5
67,46.5
94.5,76
92,84
39,34
40,37
65,87
80,88
70.5,67
73,78
42.5,38
33,18
88,78
63,78
88,78
63,78
92.5,85
73,85.5
17.5,30
23,30.5
11,16.5
28,12
15.5,22
28,32
32.5,33.5
38,59
62,78.5
68,74
76,81.5
83,79
27,33.5
38,34
67,43.5
63,59
83,78.5
78,89
76,53
70,48
78.5,8
72.5,16.5
73.5,17
65,17.5
12.5,15.5
20,12.5
29.5,24.5
23.5,34
12.5,15.5
20,12.5
78.5,73
80,76.5
23.5,45.5
18.5,31
50,25.5
52.5,26
9,6
11,9.5
80,20.5
77.5,17.5
88,10.5
84,12.5
53,13
48.5,11.5
63.5,45.5
63.5,31
55.5,14.5
47.5,25
60.5,14.5
52.5,25
11.5,6
9.5,9.5
9,6
8,10.5
52,25.5
57,17
64,31.5
66,32
60,28.5
56,24
85,33.5
82.5,34
54,29.5
54,39.5
94,39.5
84,45
87.5,24.5
74,30
14,54.5
34,49.5
93,45.5
78,42.5
13.5,35.5
18.5,26
15,59.5
7,58.5
10,45.5
18.5,26
55,55.5
57,61
20,70.5
17,71
15.5,59
11,61
75.5,24
76.5,31
90.5,34
86,36
52.5,59
48.5,59.5
7,9
2.5,4.5
84.5,30
89,33
92,35
90,39.5
84.5,45
84,63
80,53.5
83.5,61
89,83.5
90.5,86
55,33
57.5,28
78.5,83
77,73
95.5,70
85.5,79.5
5.5,5.5
5.5,11
64.5,20.5
70.5,21
79.5,16.5
74.5,31
79,58.5
75.5,81
9.5,1.5
8,6
94,78.5
90.5,86
89,78.5
97.5,86.5
85.5,26.5
88,36
69.5,45.5
68,46
84.5,77.5
80.5,73.5
80,36.5
81.5,41
5,21.5
6.5,29
87,41.5
84.5,45.5
91,71.5
83,85.5
86,41
83.5,49.5
80.5,50.5
76.5,46.5
81,47.5
76,52
88,50.5
88,47.5
73,75.5
73,67.5
73.5,51.5
74,53
79.5,76.5
77.5,73.5
89.5,81.5
82.5,81
56,16
58.5,11
53.5,36
53.5,26
66,68.5
63.5,57.5
87.5,41
85,35.5
90.5,80.5
85,81.5
81.5,76.5
76,77.5
79.5,80.5
73,87.5
92,66
92.5,68.5
81,61
90,61.5
12,47
7.5,50
83.5,63.5
80,65.5
83.5,71
86.5,74.5
4.5,6
4.5,6.5
63.5,21
64.5,27
23.5,35.5
24.5,42.5
